Symbol,ZSN2020,,,
6/3/2019,935,946.5,934,939.5
6/4/2019,949.75,952,942,944.25
6/5/2019,944.5,947,933.5,935
6/6/2019,934.75,936.75,924,933.75
6/7/2019,935,936,922.75,924.75
6/10/2019,922,934.25,918.25,928.75
6/11/2019,926,933.5,922.5,930.25
6/12/2019,927.5,946.75,923.75,943.25
6/13/2019,946,949.5,942.5,948.5
6/14/2019,949,954.5,946,952
6/17/2019,954.5,965,954.25,962.25
6/18/2019,965,968,956.5,961.75
6/19/2019,957.75,963.25,955,956.5
6/20/2019,952.75,970.5,951,969.75
6/21/2019,969.25,971.25,957.75,957.75
6/24/2019,957.75,964.75,955,963.25
6/25/2019,967.75,968.5,952.75,955
6/26/2019,953.25,953.75,946.5,947.75
6/27/2019,949,950.75,941.5,945.75
6/28/2019,945.5,961.5,945.25,955
7/1/2019,961.5,962.25,943,944.5
7/2/2019,944.75,949,936.5,936.75
7/3/2019,936.5,946.25,934.5,946
7/5/2019,942.5,944.75,931.75,933
7/8/2019,939.75,939.75,929.75,936.25
7/9/2019,936.25,943.5,929.5,943.5
7/10/2019,943,951,938.75,950.75
7/11/2019,950.75,955,943,955
7/12/2019,954.5,966.25,951.25,966
7/15/2019,967.5,969.75,954.75,956
7/16/2019,953.5,953.75,940.75,944.5
7/17/2019,944,950.25,939,939.5
7/18/2019,937.75,942.25,933.5,938.75
7/19/2019,938.75,960.25,937.25,956.5
7/22/2019,956.5,959,944.75,945.5
7/23/2019,948,949.25,938.5,944.25
7/24/2019,943.75,952.25,942.25,949.25
7/25/2019,949,953.75,941.75,943.75
7/26/2019,943.75,949.5,942.75,945.25
7/29/2019,944.25,952.75,943.25,948.75
7/30/2019,948.25,949.5,934.5,944
7/31/2019,942.5,947.25,930.25,931.75
8/1/2019,931.25,931.5,910.5,915.25
8/2/2019,917,920.75,913,917.25
8/5/2019,919,921.25,904.75,916.75
8/6/2019,914,919.75,912.5,913.5
8/7/2019,913.75,916.5,909.5,913.75
8/8/2019,913.5,930,912.25,929
8/9/2019,928.5,939.75,927.75,937.25
8/12/2019,935.5,937.25,924.5,927.75
8/13/2019,926.25,943.75,924.5,935.75
8/14/2019,935.75,940,925,925.75
8/15/2019,926,931,918,919
8/16/2019,920.5,928.75,919.25,928
8/19/2019,922.5,925.75,914.75,916.5
8/20/2019,919.75,924.25,915.5,917.5
8/21/2019,917,924.75,916.25,922
8/22/2019,922.5,930.25,916.25,917.25
8/23/2019,917.5,920.25,906.5,908.25
8/26/2019,908.25,919.75,907.5,914.75
8/27/2019,913,913.5,906,908
8/28/2019,908.5,915,901.25,913
8/29/2019,913,918,912.75,914.75
8/30/2019,914.75,923.25,913,914.25
9/2/2019,,,,914.875
9/3/2019,,,,915.5
9/4/2019,,,,922
9/5/2019,,,,909.5
9/6/2019,,,,907.75
9/9/2019,,,,908.5
9/10/2019,,,,920.75
9/11/2019,,,,916.25
9/12/2019,,,,941.25
9/13/2019,,,,943
9/16/2019,,,,945.5
9/17/2019,,,,939.75
9/18/2019,,,,936
9/19/2019,,,,937.5
9/20/2019,,,,928.75
9/23/2019,,,,935
9/24/2019,,,,936.5
9/25/2019,,,,933.5
9/26/2019,,,,934.25
9/27/2019,,,,929.5
9/30/2019,,,,947
10/1/2019,,,,956.5
10/2/2019,,,,956.5
10/3/2019,,,,954.75
10/4/2019,,,,958.25
10/7/2019,,,,959
10/8/2019,,,,965.5
10/9/2019,,,,968.75
10/10/2019,,,,968.5
10/11/2019,,,,976.75
10/14/2019,,,,980.5
10/15/2019,,,,976.25
10/16/2019,,,,972.25
10/17/2019,,,,973.5
10/18/2019,,,,976
10/21/2019,,,,975.5
10/22/2019,,,,976.75
10/23/2019,,,,976.5
10/24/2019,,,,976.75
10/25/2019,,,,967
10/28/2019,,,,969
10/29/2019,,,,968.25
10/30/2019,,,,965.25
10/31/2019,,,,967.25
11/1/2019,,,,969.75
